Nome,Category,Priority,Project,Requester,Responsible,SLA,Status
Design new landing page for product launch,Deployment,High,Project Eight (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Eight%202555f6d7364b81adbb5cf07a7c53ac11.html),José,José,05/05/2023,In Validation
Fix bug in checkout functionality,Bug,High,Project Seven (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Seven%202555f6d7364b8150a6bae6290a0d56f3.html),José,José,29/04/2023,In Validation
Add Tag Search Functionality,Internal Support,Medium,Project One (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20One%202555f6d7364b810783fac4b44b64242a.html),José,José,28/04/2023,In Validation
Add Tag Search Functionality,Internal Support,Medium,Project Six (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Six%202555f6d7364b8123bf01db7f8ed840ea.html),José,José,28/04/2023,Concluded
Add Tag Search Functionality,Internal Support,Medium,Project Four (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Four%202555f6d7364b81d68478fde66d215f67.html),José,José,28/04/2023,In Progress
Fix bug in checkout functionality,Bug,High,Project Seven (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Seven%202555f6d7364b8150a6bae6290a0d56f3.html),José,José,29/04/2023,Pending
Add Tag Search Functionality,Internal Support,Medium,Project One (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20One%202555f6d7364b810783fac4b44b64242a.html),José,José,28/04/2023,Pending
Design new landing page for product launch,Deployment,High,Project Eight (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Eight%202555f6d7364b81adbb5cf07a7c53ac11.html),José,José,05/05/2023,Pending
Design new landing page for product launch,Deployment,High,Project Eight (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Eight%202555f6d7364b81adbb5cf07a7c53ac11.html),José,José,05/05/2023,In Progress
Fix bug in checkout functionality,Bug,High,Project Seven (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Seven%202555f6d7364b8150a6bae6290a0d56f3.html),José,José,29/04/2023,In Progress
Design new landing page for product launch,Deployment,High,Project Eight (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Eight%202555f6d7364b81adbb5cf07a7c53ac11.html),José,José,05/05/2023,Concluded
Fix bug in checkout functionality,Bug,High,Project Seven (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Seven%202555f6d7364b8150a6bae6290a0d56f3.html),José,José,29/04/2023,Concluded
Fix bug in checkout functionality,Bug,High,Project Seven (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Seven%202555f6d7364b8150a6bae6290a0d56f3.html),José,José,29/04/2023,Pending
Add Tag Search Functionality,Internal Support,Medium,Project One (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20One%202555f6d7364b810783fac4b44b64242a.html),José,José,28/04/2023,Pending
Design new landing page for product launch,Deployment,High,Project Eight (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Eight%202555f6d7364b81adbb5cf07a7c53ac11.html),José,José,05/05/2023,Pending
Add Tag Search Functionality,Internal Support,Medium,Project Four (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Four%202555f6d7364b81d68478fde66d215f67.html),José,José,28/04/2023,In Progress
Design new landing page for product launch,Deployment,High,Project Eight (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Eight%202555f6d7364b81adbb5cf07a7c53ac11.html),José,José,05/05/2023,In Progress
Fix bug in checkout functionality,Bug,High,Project Seven (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Seven%202555f6d7364b8150a6bae6290a0d56f3.html),José,José,29/04/2023,In Progress
Design new landing page for product launch,Deployment,High,Project Eight (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Eight%202555f6d7364b81adbb5cf07a7c53ac11.html),José,José,05/05/2023,In Validation
Fix bug in checkout functionality,Bug,High,Project Seven (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Seven%202555f6d7364b8150a6bae6290a0d56f3.html),José,José,29/04/2023,In Validation
Add Tag Search Functionality,Internal Support,Medium,Project One (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20One%202555f6d7364b810783fac4b44b64242a.html),José,José,28/04/2023,In Validation
Add Tag Search Functionality,Internal Support,Medium,Project Six (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Six%202555f6d7364b8123bf01db7f8ed840ea.html),José,José,28/04/2023,Concluded
Design new landing page for product launch,Deployment,High,Project Eight (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Eight%202555f6d7364b81adbb5cf07a7c53ac11.html),José,José,05/05/2023,Concluded
Fix bug in checkout functionality,Bug,High,Project Seven (Task%20Manager%202555f6d7364b814d879af10176e64cea/Projects%202555f6d7364b810d85b3c7b7c167f84a/Project%20Seven%202555f6d7364b8150a6bae6290a0d56f3.html),José,José,29/04/2023,Concluded
